state	tested	cases	deaths
ak	23	0	
al		0	
all	2946	495	21
ar	6	0	
az	56	5	0
ca		114	1
co	255	8	
ct	47	1	
dc	18	1	
de	10	0	
fl	244	18	2
ga		5	
hi		1	
ia	37	3	
id	27	0	
il	241	6	
in		1	
ks		1	
ky	21	4	
la		0	
ma		28	
md	55	3	
me		0	
mi	47	0	
mn	80	2	
mo		1	
ms		0	
mt	11	0	
nc			
nd		0	
ne	50	3	
nh	47	4	
nj	37	6	
nm	57	0	
nv	14	0	
ny		105	
oh	14	0	
ok	9	1	
or	167	14	
pa		6	
ri		2	
sc			
sd	5	0	
tn		3	
tx		8	
ut		1	
va	44	2	
vt	29	1	
wa	1246	136	18
wi	44	1	
wv	5	0	
wy		0	
