state	tested	cases	deaths
ak	20	0	
al		0	
all	1059	320	19
ar	6	0	
az	56	5	0
ca		69	1
co		8	
ct		0	
de	10	0	
fl	202	14	2
ga			
hi		0	
ia	17	0	
id	27	0	
il	241	6	
in			
ks			
ky			
la		0	
ma		13	
md	44	3	
me		0	
mi	27	0	
mn	49	1	
mo		0	
ms		0	
mt	11	0	
nc			
nd		0	
ne	23	1	
nh	25	2	
nj			
nm	32	0	
nv	14	0	
ny		76	
oh	14	0	
ok	9	1	
or	124	7	
pa			
ri		2	
sc			
sd	5	0	
tn			
tx		8	
ut		1	
va	38	0	
vt	16	0	
wa		102	16
wi	44	1	
wv	5	0	
wy		0	
